13532		0 0 0 0 0 0 0 
13531		0 0 0 0 0 0 1 
13533		0 0 0 0 0 1 0 
13530		0 0 0 0 0 1 1 
13535		0 0 0 0 1 0 0 
13534		0 0 0 0 1 0 1 
13536		0 0 0 0 1 1 0 
13529		0 0 0 0 1 1 1 
13539		0 0 0 1 0 0 0 
13538		0 0 0 1 0 0 1 
13540		0 0 0 1 0 1 0 
13537		0 0 0 1 0 1 1 
13542		0 0 0 1 1 0 0 
13541		0 0 0 1 1 0 1 
13543		0 0 0 1 1 1 0 
13528		0 0 0 1 1 1 1 
13547		0 0 1 0 0 0 0 
13546		0 0 1 0 0 0 1 
13548		0 0 1 0 0 1 0 
13545		0 0 1 0 0 1 1 
13550		0 0 1 0 1 0 0 
13549		0 0 1 0 1 0 1 
13551		0 0 1 0 1 1 0 
13544		0 0 1 0 1 1 1 
13554		0 0 1 1 0 0 0 
13553		0 0 1 1 0 0 1 
13555		0 0 1 1 0 1 0 
13552		0 0 1 1 0 1 1 
13557		0 0 1 1 1 0 0 
13556		0 0 1 1 1 0 1 
13558		0 0 1 1 1 1 0 
13527		0 0 1 1 1 1 1 
13563		0 1 0 0 0 0 0 
13562		0 1 0 0 0 0 1 
13564		0 1 0 0 0 1 0 
13561		0 1 0 0 0 1 1 
13566		0 1 0 0 1 0 0 
13565		0 1 0 0 1 0 1 
13567		0 1 0 0 1 1 0 
13560		0 1 0 0 1 1 1 
13570		0 1 0 1 0 0 0 
13569		0 1 0 1 0 0 1 
13571		0 1 0 1 0 1 0 
13568		0 1 0 1 0 1 1 
13573		0 1 0 1 1 0 0 
13572		0 1 0 1 1 0 1 
13574		0 1 0 1 1 1 0 
13559		0 1 0 1 1 1 1 
13578		0 1 1 0 0 0 0 
13577		0 1 1 0 0 0 1 
13579		0 1 1 0 0 1 0 
13576		0 1 1 0 0 1 1 
13581		0 1 1 0 1 0 0 
13580		0 1 1 0 1 0 1 
13582		0 1 1 0 1 1 0 
13575		0 1 1 0 1 1 1 
13585		0 1 1 1 0 0 0 
13584		0 1 1 1 0 0 1 
13586		0 1 1 1 0 1 0 
13583		0 1 1 1 0 1 1 
13588		0 1 1 1 1 0 0 
13587		0 1 1 1 1 0 1 
13589		0 1 1 1 1 1 0 
13526		0 1 1 1 1 1 1 
13595		1 0 0 0 0 0 0 
13594		1 0 0 0 0 0 1 
13596		1 0 0 0 0 1 0 
13593		1 0 0 0 0 1 1 
13598		1 0 0 0 1 0 0 
13597		1 0 0 0 1 0 1 
13599		1 0 0 0 1 1 0 
13592		1 0 0 0 1 1 1 
13602		1 0 0 1 0 0 0 
13601		1 0 0 1 0 0 1 
13603		1 0 0 1 0 1 0 
13600		1 0 0 1 0 1 1 
13605		1 0 0 1 1 0 0 
13604		1 0 0 1 1 0 1 
13606		1 0 0 1 1 1 0 
13591		1 0 0 1 1 1 1 
13610		1 0 1 0 0 0 0 
13609		1 0 1 0 0 0 1 
13611		1 0 1 0 0 1 0 
13608		1 0 1 0 0 1 1 
13613		1 0 1 0 1 0 0 
13612		1 0 1 0 1 0 1 
13614		1 0 1 0 1 1 0 
13607		1 0 1 0 1 1 1 
13617		1 0 1 1 0 0 0 
13616		1 0 1 1 0 0 1 
13618		1 0 1 1 0 1 0 
13615		1 0 1 1 0 1 1 
13620		1 0 1 1 1 0 0 
13619		1 0 1 1 1 0 1 
13621		1 0 1 1 1 1 0 
13590		1 0 1 1 1 1 1 
13626		1 1 0 0 0 0 0 
13625		1 1 0 0 0 0 1 
13627		1 1 0 0 0 1 0 
13624		1 1 0 0 0 1 1 
13629		1 1 0 0 1 0 0 
13628		1 1 0 0 1 0 1 
13630		1 1 0 0 1 1 0 
13623		1 1 0 0 1 1 1 
13633		1 1 0 1 0 0 0 
13632		1 1 0 1 0 0 1 
13634		1 1 0 1 0 1 0 
13631		1 1 0 1 0 1 1 
13636		1 1 0 1 1 0 0 
13635		1 1 0 1 1 0 1 
13637		1 1 0 1 1 1 0 
13622		1 1 0 1 1 1 1 
13641		1 1 1 0 0 0 0 
13640		1 1 1 0 0 0 1 
13642		1 1 1 0 0 1 0 
13639		1 1 1 0 0 1 1 
13644		1 1 1 0 1 0 0 
13643		1 1 1 0 1 0 1 
13645		1 1 1 0 1 1 0 
13638		1 1 1 0 1 1 1 
13648		1 1 1 1 0 0 0 
13647		1 1 1 1 0 0 1 
13649		1 1 1 1 0 1 0 
13646		1 1 1 1 0 1 1 
13651		1 1 1 1 1 0 0 
13650		1 1 1 1 1 0 1 
13652		1 1 1 1 1 1 0 
13421		1 1 1 1 1 1 1 
T = 0.06937s
